ID,Nome,Idade,Sexo,Departamento,Cargo,Salario,Data Admissao,Tempo Empresa (anos),Estado Civil,Cidade,Nível Escolaridade
236,Funcionário 236,46,Feminino,Logística,Gerente,3296,2013-08-12,9,Solteiro,Curitiba,Mestrado
237,Funcionário 237,20,Masculino,Marketing,Analista,14906,2013-02-15,10,Casado,Rio de Janeiro,Superior Completo
238,Funcionário 238,37,Feminino,Financeiro,Gerente,10436,2022-09-02,0,Solteiro,Belo Horizonte,Superior Completo
239,Funcionário 239,53,Masculino,Vendas,Assistente,4895,2017-05-14,5,Divorciado,Rio de Janeiro,Ensino Médio
240,Funcionário 240,36,Feminino,Marketing,Assistente,8593,2018-11-30,4,Solteiro,Curitiba,Doutorado
241,Funcionário 241,43,Feminino,RH,Gerente,2929,2010-03-31,13,Viúvo,São Paulo,Ensino Médio
242,Funcionário 242,20,Masculino,Marketing,Analista,7366,2021-04-01,2,Casado,Rio de Janeiro,Superior Completo
243,Funcionário 243,36,Feminino,TI,Gerente,10711,2018-04-09,5,Casado,Curitiba,Superior Completo
244,Funcionário 244,37,Masculino,Vendas,Gerente,5212,2015-02-01,8,Divorciado,Porto Alegre,Doutorado
245,Funcionário 245,49,Feminino,RH,Gerente,4409,2012-03-15,11,Casado,Belo Horizonte,Mestrado
246,Funcionário 246,24,Masculino,Financeiro,Coordenador,10199,2012-08-02,10,Viúvo,Rio de Janeiro,Mestrado
247,Funcionário 247,58,Masculino,Logística,Assistente,12717,2017-08-21,5,Solteiro,São Paulo,Doutorado
248,Funcionário 248,50,Feminino,RH,Diretor,5423,2020-08-11,2,Divorciado,Porto Alegre,Doutorado
249,Funcionário 249,57,Masculino,Financeiro,Diretor,12211,2014-05-30,8,Viúvo,Curitiba,Ensino Médio
250,Funcionário 250,56,Masculino,Logística,Coordenador,14782,2018-01-02,5,Casado,Belo Horizonte,Doutorado
251,Funcionário 251,35,Feminino,Logística,Gerente,8976,2020-08-18,2,Casado,São Paulo,Mestrado
252,Funcionário 252,57,Masculino,RH,Coordenador,9594,2018-10-27,4,Viúvo,Curitiba,Doutorado
253,Funcionário 253,18,Masculino,Marketing,Coordenador,7158,2022-01-09,1,Solteiro,Curitiba,Ensino Médio
254,Funcionário 254,28,Feminino,Marketing,Analista,14474,2022-12-19,0,Solteiro,Rio de Janeiro,Ensino Médio
255,Funcionário 255,45,Feminino,Logística,Assistente,5667,2016-07-15,6,Divorciado,Rio de Janeiro,Ensino Médio
256,Funcionário 256,42,Masculino,Marketing,Diretor,13863,2022-12-07,0,Casado,São Paulo,Ensino Médio
257,Funcionário 257,40,Masculino,TI,Gerente,12993,2012-07-30,10,Viúvo,Curitiba,Pós-Graduação
258,Funcionário 258,48,Feminino,Logística,Diretor,7973,2017-01-10,6,Solteiro,Rio de Janeiro,Doutorado
259,Funcionário 259,47,Feminino,Logística,Diretor,8236,2012-09-02,10,Divorciado,Belo Horizonte,Superior Completo
260,Funcionário 260,59,Masculino,Financeiro,Assistente,10277,2012-08-12,10,Casado,Belo Horizonte,Doutorado
261,Funcionário 261,52,Feminino,Marketing,Diretor,13307,2013-06-16,9,Casado,Curitiba,Pós-Graduação
262,Funcionário 262,24,Masculino,Logística,Diretor,14424,2012-08-01,10,Divorciado,Rio de Janeiro,Ensino Médio
263,Funcionário 263,33,Masculino,TI,Coordenador,4468,2016-01-12,7,Divorciado,São Paulo,Pós-Graduação
264,Funcionário 264,43,Masculino,Financeiro,Assistente,8217,2019-02-10,4,Solteiro,São Paulo,Mestrado
265,Funcionário 265,19,Masculino,RH,Analista,5619,2021-09-14,1,Viúvo,São Paulo,Mestrado
266,Funcionário 266,18,Masculino,Logística,Gerente,3636,2016-03-09,7,Casado,Belo Horizonte,Doutorado
267,Funcionário 267,29,Feminino,TI,Diretor,10155,2015-01-03,8,Viúvo,Rio de Janeiro,Doutorado
268,Funcionário 268,22,Feminino,Vendas,Gerente,5583,2013-06-11,9,Casado,Rio de Janeiro,Superior Completo
269,Funcionário 269,54,Feminino,TI,Analista,6009,2011-04-10,12,Casado,Belo Horizonte,Superior Completo
270,Funcionário 270,49,Feminino,TI,Gerente,5326,2019-01-08,4,Viúvo,São Paulo,Mestrado
271,Funcionário 271,26,Masculino,Financeiro,Analista,12410,2013-05-15,9,Divorciado,São Paulo,Ensino Médio
272,Funcionário 272,58,Masculino,RH,Coordenador,10148,2017-04-08,6,Solteiro,Curitiba,Pós-Graduação
273,Funcionário 273,52,Masculino,Vendas,Diretor,4217,2012-06-03,10,Casado,Porto Alegre,Superior Completo
274,Funcionário 274,36,Masculino,Marketing,Analista,6967,2020-06-02,2,Divorciado,Rio de Janeiro,Superior Completo
275,Funcionário 275,33,Feminino,Marketing,Gerente,4369,2020-07-23,2,Casado,Rio de Janeiro,Ensino Médio
276,Funcionário 276,20,Masculino,TI,Diretor,5638,2018-08-02,4,Solteiro,Rio de Janeiro,Ensino Médio
277,Funcionário 277,37,Masculino,Financeiro,Coordenador,12695,2012-07-13,10,Casado,Porto Alegre,Doutorado
278,Funcionário 278,41,Feminino,Financeiro,Diretor,11135,2022-07-26,0,Solteiro,Curitiba,Pós-Graduação
279,Funcionário 279,50,Feminino,Marketing,Analista,7722,2014-03-27,9,Solteiro,Porto Alegre,Ensino Médio
280,Funcionário 280,41,Feminino,Vendas,Coordenador,13029,2012-12-30,10,Casado,São Paulo,Superior Completo
281,Funcionário 281,28,Feminino,RH,Gerente,12852,2016-08-08,6,Casado,São Paulo,Superior Completo
282,Funcionário 282,25,Masculino,Vendas,Coordenador,13128,2017-03-02,6,Solteiro,Rio de Janeiro,Mestrado
283,Funcionário 283,53,Masculino,Logística,Coordenador,6444,2012-02-02,11,Divorciado,Belo Horizonte,Ensino Médio
284,Funcionário 284,55,Feminino,Logística,Assistente,9618,2016-05-12,6,Viúvo,Rio de Janeiro,Doutorado
285,Funcionário 285,57,Masculino,RH,Coordenador,5947,2021-05-08,2,Solteiro,Belo Horizonte,Pós-Graduação
286,Funcionário 286,37,Masculino,Marketing,Coordenador,3676,2017-08-07,5,Casado,Porto Alegre,Doutorado
287,Funcionário 287,52,Masculino,RH,Diretor,3196,2022-10-04,0,Casado,São Paulo,Superior Completo
288,Funcionário 288,42,Feminino,Financeiro,Gerente,14297,2018-08-22,4,Divorciado,Belo Horizonte,Doutorado
289,Funcionário 289,52,Masculino,Logística,Diretor,4787,2020-11-14,2,Viúvo,Porto Alegre,Superior Completo
290,Funcionário 290,42,Feminino,TI,Diretor,9432,2015-08-03,7,Solteiro,São Paulo,Superior Completo
291,Funcionário 291,46,Masculino,TI,Analista,11653,2011-08-07,11,Solteiro,Belo Horizonte,Superior Completo
292,Funcionário 292,35,Masculino,Marketing,Diretor,9927,2021-11-10,1,Viúvo,Rio de Janeiro,Superior Completo
293,Funcionário 293,63,Masculino,Financeiro,Assistente,5318,2015-10-05,7,Solteiro,Rio de Janeiro,Superior Completo
294,Funcionário 294,35,Feminino,Vendas,Assistente,10858,2015-04-27,8,Viúvo,Rio de Janeiro,Mestrado
295,Funcionário 295,19,Masculino,Financeiro,Analista,8689,2022-03-14,1,Casado,Porto Alegre,Doutorado
296,Funcionário 296,52,Feminino,TI,Gerente,4176,2010-04-20,13,Viúvo,Rio de Janeiro,Mestrado
297,Funcionário 297,33,Feminino,TI,Gerente,5743,2010-07-11,12,Solteiro,Curitiba,Mestrado
298,Funcionário 298,58,Feminino,Logística,Diretor,10792,2012-06-22,10,Viúvo,São Paulo,Ensino Médio
299,Funcionário 299,53,Masculino,Financeiro,Diretor,12844,2012-05-11,10,Divorciado,Porto Alegre,Ensino Médio
300,Funcionário 300,50,Masculino,Financeiro,Diretor,6422,2012-12-19,10,Casado,Rio de Janeiro,Ensino Médio
301,Funcionário 301,21,Masculino,TI,Gerente,5824,2011-10-12,11,Casado,São Paulo,Pós-Graduação
302,Funcionário 302,50,Masculino,Vendas,Coordenador,14098,2021-04-27,2,Viúvo,Belo Horizonte,Ensino Médio
303,Funcionário 303,31,Feminino,Marketing,Assistente,11171,2019-11-21,3,Solteiro,Rio de Janeiro,Doutorado
304,Funcionário 304,38,Feminino,Marketing,Coordenador,4451,2011-09-29,11,Divorciado,São Paulo,Mestrado
305,Funcionário 305,37,Feminino,Financeiro,Coordenador,2628,2012-11-02,10,Casado,Curitiba,Doutorado
306,Funcionário 306,25,Masculino,Marketing,Gerente,11821,2021-04-24,2,Casado,Belo Horizonte,Ensino Médio
307,Funcionário 307,24,Feminino,TI,Coordenador,9778,2015-11-19,7,Solteiro,Curitiba,Pós-Graduação
308,Funcionário 308,20,Masculino,TI,Analista,5696,2020-08-01,2,Solteiro,São Paulo,Pós-Graduação
309,Funcionário 309,34,Feminino,Financeiro,Diretor,13622,2018-08-24,4,Divorciado,Curitiba,Mestrado
310,Funcionário 310,50,Masculino,Financeiro,Analista,5674,2019-10-28,3,Viúvo,São Paulo,Doutorado
311,Funcionário 311,29,Masculino,Logística,Assistente,5929,2019-01-08,4,Solteiro,São Paulo,Superior Completo
312,Funcionário 312,39,Feminino,Financeiro,Diretor,4765,2021-09-01,1,Viúvo,Curitiba,Doutorado
313,Funcionário 313,39,Feminino,Vendas,Coordenador,6369,2016-08-27,6,Divorciado,São Paulo,Ensino Médio
314,Funcionário 314,63,Feminino,Marketing,Assistente,14972,2015-02-23,8,Viúvo,Rio de Janeiro,Superior Completo
315,Funcionário 315,47,Feminino,Financeiro,Diretor,10307,2020-11-10,2,Casado,São Paulo,Pós-Graduação
316,Funcionário 316,55,Masculino,RH,Coordenador,6956,2020-03-02,3,Viúvo,Porto Alegre,Mestrado
317,Funcionário 317,55,Feminino,Logística,Analista,12195,2021-04-19,2,Divorciado,São Paulo,Mestrado
318,Funcionário 318,62,Feminino,RH,Diretor,2692,2021-03-30,2,Divorciado,Porto Alegre,Pós-Graduação
319,Funcionário 319,25,Feminino,TI,Coordenador,5162,2015-07-05,7,Divorciado,São Paulo,Ensino Médio
320,Funcionário 320,44,Masculino,Marketing,Analista,3105,2019-03-28,4,Viúvo,São Paulo,Pós-Graduação
321,Funcionário 321,44,Masculino,Financeiro,Assistente,5008,2015-11-14,7,Casado,Curitiba,Ensino Médio
322,Funcionário 322,51,Feminino,RH,Assistente,4161,2016-11-05,6,Solteiro,Rio de Janeiro,Superior Completo
323,Funcionário 323,38,Masculino,Marketing,Assistente,10345,2022-07-18,0,Casado,Rio de Janeiro,Pós-Graduação
324,Funcionário 324,47,Feminino,TI,Assistente,5699,2013-07-13,9,Viúvo,Belo Horizonte,Ensino Médio
325,Funcionário 325,50,Masculino,Vendas,Gerente,14602,2013-12-18,9,Viúvo,Curitiba,Superior Completo
326,Funcionário 326,45,Masculino,Logística,Diretor,5786,2018-10-05,4,Solteiro,Curitiba,Pós-Graduação
327,Funcionário 327,64,Masculino,Marketing,Diretor,11256,2015-04-28,8,Viúvo,Rio de Janeiro,Mestrado
328,Funcionário 328,50,Masculino,Marketing,Gerente,6200,2018-09-19,4,Divorciado,Curitiba,Pós-Graduação
329,Funcionário 329,22,Feminino,Vendas,Coordenador,3913,2018-10-22,4,Divorciado,Rio de Janeiro,Doutorado
330,Funcionário 330,36,Feminino,Marketing,Coordenador,11408,2018-08-03,4,Divorciado,Curitiba,Pós-Graduação
331,Funcionário 331,21,Feminino,TI,Assistente,7520,2019-02-01,4,Divorciado,São Paulo,Doutorado
332,Funcionário 332,52,Masculino,TI,Analista,12593,2017-08-14,5,Divorciado,Rio de Janeiro,Superior Completo
333,Funcionário 333,34,Feminino,Vendas,Coordenador,3772,2012-09-17,10,Viúvo,Rio de Janeiro,Pós-Graduação
334,Funcionário 334,61,Feminino,Logística,Analista,12152,2015-11-24,7,Solteiro,Porto Alegre,Superior Completo
335,Funcionário 335,45,Feminino,Financeiro,Diretor,4780,2010-08-14,12,Solteiro,Curitiba,Superior Completo
336,Funcionário 336,47,Masculino,RH,Analista,14996,2012-02-16,11,Divorciado,Curitiba,Ensino Médio
337,Funcionário 337,46,Masculino,Financeiro,Diretor,9423,2017-10-08,5,Viúvo,Rio de Janeiro,Superior Completo
338,Funcionário 338,63,Masculino,Marketing,Gerente,14938,2011-11-19,11,Casado,São Paulo,Superior Completo
339,Funcionário 339,23,Feminino,RH,Gerente,4871,2011-06-14,11,Casado,São Paulo,Pós-Graduação
340,Funcionário 340,52,Feminino,Vendas,Assistente,2660,2019-06-05,3,Viúvo,São Paulo,Pós-Graduação
341,Funcionário 341,58,Feminino,Vendas,Coordenador,8242,2015-11-24,7,Divorciado,Curitiba,Mestrado
342,Funcionário 342,54,Masculino,Logística,Assistente,12827,2013-07-18,9,Solteiro,Porto Alegre,Ensino Médio
343,Funcionário 343,41,Masculino,RH,Diretor,12521,2014-03-07,9,Viúvo,Rio de Janeiro,Superior Completo
344,Funcionário 344,46,Feminino,TI,Assistente,14146,2017-12-06,5,Casado,Belo Horizonte,Ensino Médio
345,Funcionário 345,63,Masculino,RH,Analista,12642,2018-07-01,4,Casado,Porto Alegre,Doutorado
346,Funcionário 346,48,Masculino,Marketing,Diretor,3132,2016-09-06,6,Casado,Belo Horizonte,Superior Completo
347,Funcionário 347,52,Masculino,TI,Gerente,2699,2021-04-28,2,Divorciado,Porto Alegre,Ensino Médio
348,Funcionário 348,50,Masculino,Vendas,Coordenador,9470,2020-05-30,2,Casado,São Paulo,Mestrado
349,Funcionário 349,38,Feminino,RH,Diretor,12230,2012-04-24,11,Viúvo,Curitiba,Mestrado
350,Funcionário 350,49,Masculino,Financeiro,Diretor,8297,2011-03-23,12,Viúvo,Belo Horizonte,Superior Completo
351,Funcionário 351,40,Masculino,Logística,Analista,14839,2020-09-20,2,Casado,Porto Alegre,Doutorado
352,Funcionário 352,50,Masculino,Financeiro,Coordenador,9812,2018-07-07,4,Viúvo,Curitiba,Mestrado
353,Funcionário 353,20,Masculino,Logística,Gerente,14692,2013-05-19,9,Casado,Belo Horizonte,Mestrado
354,Funcionário 354,35,Feminino,Marketing,Diretor,6557,2010-08-15,12,Casado,Rio de Janeiro,Doutorado
355,Funcionário 355,42,Feminino,Financeiro,Diretor,4179,2021-05-06,2,Solteiro,Porto Alegre,Ensino Médio
356,Funcionário 356,59,Masculino,RH,Analista,13030,2018-02-07,5,Divorciado,Rio de Janeiro,Mestrado
357,Funcionário 357,48,Masculino,RH,Assistente,11065,2015-01-05,8,Divorciado,São Paulo,Pós-Graduação
358,Funcionário 358,20,Masculino,Financeiro,Gerente,10275,2020-05-07,3,Solteiro,Rio de Janeiro,Mestrado
359,Funcionário 359,57,Masculino,RH,Coordenador,3422,2010-07-06,12,Solteiro,Rio de Janeiro,Ensino Médio
360,Funcionário 360,63,Masculino,Marketing,Diretor,12867,2017-11-17,5,Divorciado,Porto Alegre,Ensino Médio
361,Funcionário 361,41,Masculino,TI,Diretor,5180,2016-12-10,6,Casado,São Paulo,Superior Completo
362,Funcionário 362,49,Feminino,Marketing,Gerente,6316,2015-04-17,8,Casado,Rio de Janeiro,Pós-Graduação
363,Funcionário 363,64,Masculino,Logística,Assistente,14167,2018-01-03,5,Divorciado,Curitiba,Ensino Médio
364,Funcionário 364,39,Feminino,Marketing,Diretor,8696,2012-04-28,11,Casado,Belo Horizonte,Doutorado
365,Funcionário 365,40,Feminino,Logística,Gerente,11583,2015-07-26,7,Solteiro,Rio de Janeiro,Pós-Graduação
366,Funcionário 366,19,Masculino,RH,Analista,13410,2013-06-06,9,Casado,São Paulo,Pós-Graduação
367,Funcionário 367,44,Feminino,TI,Assistente,14399,2015-02-25,8,Casado,Rio de Janeiro,Doutorado
368,Funcionário 368,59,Feminino,RH,Coordenador,2614,2010-09-27,12,Viúvo,Belo Horizonte,Mestrado
369,Funcionário 369,19,Feminino,Vendas,Diretor,13163,2014-06-19,8,Viúvo,São Paulo,Doutorado
370,Funcionário 370,43,Feminino,RH,Gerente,13757,2022-01-23,1,Viúvo,Porto Alegre,Doutorado
371,Funcionário 371,34,Feminino,Logística,Analista,13768,2018-10-09,4,Casado,São Paulo,Mestrado
372,Funcionário 372,57,Feminino,RH,Coordenador,6570,2014-04-24,9,Divorciado,Porto Alegre,Mestrado
373,Funcionário 373,50,Masculino,RH,Gerente,2270,2017-12-02,5,Solteiro,São Paulo,Mestrado
374,Funcionário 374,26,Feminino,TI,Gerente,14258,2014-08-23,8,Casado,Belo Horizonte,Mestrado
375,Funcionário 375,60,Feminino,RH,Coordenador,4468,2018-12-03,4,Divorciado,Belo Horizonte,Mestrado
376,Funcionário 376,56,Feminino,TI,Analista,11582,2018-12-07,4,Casado,São Paulo,Doutorado
377,Funcionário 377,46,Masculino,Financeiro,Analista,13546,2013-12-16,9,Solteiro,Rio de Janeiro,Superior Completo
378,Funcionário 378,59,Feminino,Vendas,Assistente,14327,2010-08-08,12,Casado,Belo Horizonte,Superior Completo
379,Funcionário 379,43,Masculino,TI,Diretor,5607,2010-02-22,13,Solteiro,Porto Alegre,Ensino Médio
380,Funcionário 380,52,Feminino,Logística,Coordenador,12775,2014-10-24,8,Casado,Porto Alegre,Superior Completo
381,Funcionário 381,42,Masculino,Financeiro,Coordenador,14265,2014-07-25,8,Solteiro,Curitiba,Superior Completo
382,Funcionário 382,41,Masculino,TI,Coordenador,5075,2017-08-17,5,Casado,Porto Alegre,Doutorado
383,Funcionário 383,30,Feminino,TI,Analista,14098,2011-12-21,11,Solteiro,Curitiba,Mestrado
384,Funcionário 384,24,Feminino,Vendas,Diretor,2289,2011-02-10,12,Viúvo,São Paulo,Mestrado
385,Funcionário 385,53,Masculino,Logística,Assistente,10120,2016-04-13,7,Casado,São Paulo,Doutorado
386,Funcionário 386,62,Feminino,Marketing,Gerente,12672,2010-03-13,13,Casado,São Paulo,Superior Completo
387,Funcionário 387,37,Masculino,Marketing,Gerente,8614,2015-08-16,7,Divorciado,Rio de Janeiro,Doutorado
388,Funcionário 388,18,Masculino,TI,Coordenador,5252,2013-05-14,9,Divorciado,Rio de Janeiro,Ensino Médio
389,Funcionário 389,25,Masculino,RH,Diretor,9415,2014-04-17,9,Solteiro,Curitiba,Mestrado
390,Funcionário 390,63,Masculino,Logística,Analista,8771,2020-01-31,3,Casado,Porto Alegre,Pós-Graduação
391,Funcionário 391,33,Masculino,Financeiro,Diretor,2278,2018-02-01,5,Solteiro,Porto Alegre,Ensino Médio
392,Funcionário 392,31,Feminino,RH,Diretor,13116,2022-04-10,1,Viúvo,São Paulo,Ensino Médio
393,Funcionário 393,29,Masculino,RH,Analista,2580,2011-11-30,11,Divorciado,Belo Horizonte,Doutorado
394,Funcionário 394,40,Masculino,Logística,Coordenador,6958,2012-04-06,11,Solteiro,Rio de Janeiro,Superior Completo
395,Funcionário 395,32,Feminino,TI,Diretor,10445,2010-12-15,12,Solteiro,Rio de Janeiro,Mestrado
396,Funcionário 396,45,Masculino,TI,Gerente,6276,2020-09-13,2,Divorciado,São Paulo,Pós-Graduação
397,Funcionário 397,51,Feminino,TI,Analista,9997,2010-11-04,12,Casado,Rio de Janeiro,Ensino Médio
398,Funcionário 398,19,Feminino,TI,Assistente,6776,2019-05-10,3,Solteiro,São Paulo,Pós-Graduação
399,Funcionário 399,49,Feminino,Marketing,Coordenador,2824,2016-05-23,6,Divorciado,Curitiba,Superior Completo
400,Funcionário 400,40,Masculino,TI,Analista,5832,2017-09-10,5,Casado,Porto Alegre,Superior Completo
401,Funcionário 401,39,Masculino,Marketing,Assistente,10891,2019-09-29,3,Viúvo,Belo Horizonte,Pós-Graduação
402,Funcionário 402,42,Masculino,Marketing,Assistente,7445,2022-04-06,1,Divorciado,Porto Alegre,Mestrado
403,Funcionário 403,39,Feminino,TI,Diretor,3380,2019-07-10,3,Solteiro,Porto Alegre,Superior Completo
404,Funcionário 404,39,Masculino,Vendas,Diretor,14088,2022-08-26,0,Viúvo,Curitiba,Pós-Graduação
405,Funcionário 405,59,Feminino,Financeiro,Diretor,11865,2017-05-10,5,Casado,Rio de Janeiro,Ensino Médio
406,Funcionário 406,23,Masculino,RH,Analista,12919,2018-03-05,5,Casado,Belo Horizonte,Pós-Graduação
407,Funcionário 407,32,Feminino,Marketing,Analista,8534,2010-10-03,12,Divorciado,Rio de Janeiro,Pós-Graduação
408,Funcionário 408,60,Masculino,Logística,Coordenador,5156,2016-12-22,6,Divorciado,Porto Alegre,Doutorado
409,Funcionário 409,54,Masculino,Logística,Diretor,13580,2017-07-27,5,Divorciado,São Paulo,Superior Completo
410,Funcionário 410,50,Masculino,Financeiro,Assistente,6307,2010-12-03,12,Casado,Porto Alegre,Mestrado
411,Funcionário 411,25,Feminino,Logística,Gerente,7634,2015-05-28,7,Viúvo,Rio de Janeiro,Mestrado
412,Funcionário 412,61,Feminino,Vendas,Coordenador,10575,2018-02-27,5,Casado,Porto Alegre,Doutorado
413,Funcionário 413,61,Masculino,Logística,Analista,7810,2022-07-13,0,Solteiro,São Paulo,Mestrado
414,Funcionário 414,22,Masculino,RH,Coordenador,10533,2020-11-12,2,Casado,Curitiba,Pós-Graduação
415,Funcionário 415,56,Feminino,RH,Coordenador,7934,2012-06-29,10,Solteiro,Rio de Janeiro,Doutorado
416,Funcionário 416,21,Feminino,Marketing,Coordenador,12179,2015-06-20,7,Viúvo,Porto Alegre,Ensino Médio
417,Funcionário 417,23,Feminino,TI,Coordenador,14251,2018-07-27,4,Divorciado,Rio de Janeiro,Superior Completo
418,Funcionário 418,62,Masculino,Vendas,Gerente,5109,2021-07-06,1,Divorciado,Curitiba,Superior Completo
419,Funcionário 419,49,Feminino,Marketing,Diretor,6082,2020-04-15,3,Casado,Porto Alegre,Superior Completo
420,Funcionário 420,47,Masculino,Vendas,Assistente,14707,2010-11-24,12,Divorciado,Porto Alegre,Pós-Graduação
421,Funcionário 421,64,Feminino,TI,Coordenador,12990,2014-12-05,8,Viúvo,Rio de Janeiro,Ensino Médio
422,Funcionário 422,52,Masculino,Logística,Coordenador,5240,2010-11-11,12,Divorciado,Rio de Janeiro,Doutorado
423,Funcionário 423,57,Feminino,Logística,Coordenador,12180,2019-09-16,3,Casado,São Paulo,Doutorado
424,Funcionário 424,33,Feminino,TI,Diretor,8028,2013-02-08,10,Viúvo,Curitiba,Superior Completo
425,Funcionário 425,30,Feminino,Marketing,Analista,13606,2017-07-09,5,Solteiro,São Paulo,Ensino Médio
426,Funcionário 426,59,Feminino,TI,Analista,3849,2014-03-01,9,Casado,Porto Alegre,Ensino Médio
427,Funcionário 427,47,Feminino,Financeiro,Gerente,10497,2010-06-05,12,Solteiro,Rio de Janeiro,Ensino Médio
428,Funcionário 428,36,Masculino,RH,Analista,13805,2014-09-21,8,Viúvo,Porto Alegre,Mestrado
429,Funcionário 429,34,Feminino,Marketing,Coordenador,4749,2019-02-26,4,Casado,Porto Alegre,Mestrado
430,Funcionário 430,36,Feminino,Vendas,Coordenador,8680,2012-06-05,10,Casado,Belo Horizonte,Superior Completo
431,Funcionário 431,45,Feminino,Financeiro,Coordenador,11327,2018-06-01,4,Viúvo,Belo Horizonte,Ensino Médio
432,Funcionário 432,43,Masculino,Marketing,Gerente,2205,2017-09-06,5,Divorciado,Porto Alegre,Ensino Médio
433,Funcionário 433,54,Feminino,TI,Coordenador,9352,2011-12-23,11,Casado,Rio de Janeiro,Doutorado
434,Funcionário 434,43,Masculino,TI,Analista,6591,2012-07-01,10,Casado,Porto Alegre,Doutorado
435,Funcionário 435,40,Feminino,TI,Diretor,5450,2019-03-12,4,Solteiro,Belo Horizonte,Superior Completo
436,Funcionário 436,26,Feminino,TI,Diretor,9214,2012-05-20,10,Divorciado,Rio de Janeiro,Ensino Médio
437,Funcionário 437,29,Masculino,Vendas,Assistente,5811,2021-04-01,2,Solteiro,Porto Alegre,Superior Completo
438,Funcionário 438,18,Feminino,Financeiro,Analista,13814,2011-05-13,11,Solteiro,Curitiba,Doutorado
439,Funcionário 439,18,Masculino,Logística,Coordenador,13791,2014-10-23,8,Divorciado,Curitiba,Doutorado
440,Funcionário 440,64,Masculino,RH,Diretor,12743,2013-01-22,10,Divorciado,Porto Alegre,Mestrado
441,Funcionário 441,51,Feminino,Vendas,Analista,7141,2019-05-03,4,Viúvo,Rio de Janeiro,Superior Completo
442,Funcionário 442,49,Masculino,Vendas,Diretor,14500,2017-09-29,5,Divorciado,Porto Alegre,Superior Completo
443,Funcionário 443,42,Feminino,Logística,Coordenador,10501,2014-07-06,8,Casado,Porto Alegre,Ensino Médio
444,Funcionário 444,57,Feminino,Logística,Diretor,4708,2018-03-03,5,Divorciado,Belo Horizonte,Ensino Médio
445,Funcionário 445,62,Masculino,RH,Assistente,3991,2010-05-23,12,Viúvo,Curitiba,Mestrado
446,Funcionário 446,18,Masculino,RH,Assistente,10463,2017-07-24,5,Viúvo,Belo Horizonte,Pós-Graduação
447,Funcionário 447,33,Masculino,Logística,Diretor,13834,2019-05-29,3,Viúvo,Belo Horizonte,Pós-Graduação
448,Funcionário 448,56,Masculino,TI,Analista,14278,2022-10-05,0,Divorciado,Porto Alegre,Pós-Graduação
449,Funcionário 449,22,Feminino,Vendas,Analista,12014,2016-08-28,6,Divorciado,Belo Horizonte,Superior Completo
450,Funcionário 450,39,Feminino,Marketing,Analista,5273,2022-05-10,0,Solteiro,Curitiba,Superior Completo
451,Funcionário 451,46,Masculino,RH,Diretor,6538,2015-01-23,8,Solteiro,Belo Horizonte,Doutorado
452,Funcionário 452,20,Feminino,RH,Analista,14541,2017-05-20,5,Casado,Curitiba,Superior Completo
453,Funcionário 453,29,Feminino,Logística,Coordenador,10712,2014-09-14,8,Solteiro,Belo Horizonte,Superior Completo
454,Funcionário 454,43,Feminino,Financeiro,Assistente,11168,2018-05-31,4,Casado,Curitiba,Superior Completo
455,Funcionário 455,33,Feminino,Marketing,Coordenador,5722,2012-12-03,10,Viúvo,Belo Horizonte,Mestrado
456,Funcionário 456,54,Masculino,Marketing,Analista,5551,2017-08-18,5,Solteiro,Belo Horizonte,Superior Completo
457,Funcionário 457,39,Masculino,RH,Coordenador,14297,2020-05-19,2,Divorciado,Rio de Janeiro,Ensino Médio
458,Funcionário 458,46,Feminino,TI,Analista,12965,2013-07-12,9,Solteiro,Curitiba,Ensino Médio
459,Funcionário 459,31,Masculino,Financeiro,Diretor,12744,2020-08-07,2,Casado,Curitiba,Doutorado
460,Funcionário 460,45,Masculino,Marketing,Coordenador,4832,2014-12-12,8,Solteiro,Curitiba,Mestrado
461,Funcionário 461,22,Masculino,RH,Diretor,14099,2014-02-13,9,Viúvo,São Paulo,Ensino Médio
462,Funcionário 462,64,Feminino,Marketing,Diretor,7679,2019-01-22,4,Divorciado,Belo Horizonte,Mestrado
463,Funcionário 463,47,Feminino,Financeiro,Gerente,8579,2018-01-30,5,Casado,Curitiba,Mestrado
464,Funcionário 464,63,Feminino,Financeiro,Analista,2152,2010-03-13,13,Divorciado,São Paulo,Doutorado
465,Funcionário 465,22,Masculino,Vendas,Assistente,7754,2014-08-18,8,Divorciado,Rio de Janeiro,Mestrado
466,Funcionário 466,29,Feminino,Logística,Analista,13156,2013-09-06,9,Casado,Curitiba,Superior Completo
467,Funcionário 467,33,Feminino,Logística,Assistente,13108,2019-01-17,4,Divorciado,Curitiba,Mestrado
468,Funcionário 468,43,Masculino,RH,Analista,4800,2018-07-11,4,Divorciado,São Paulo,Doutorado
469,Funcionário 469,43,Feminino,Financeiro,Diretor,7310,2012-06-01,10,Solteiro,Belo Horizonte,Doutorado
470,Funcionário 470,38,Feminino,Vendas,Coordenador,11944,2021-08-05,1,Divorciado,Rio de Janeiro,Doutorado
471,Funcionário 471,56,Masculino,Vendas,Coordenador,4610,2017-04-16,6,Divorciado,Curitiba,Ensino Médio
472,Funcionário 472,53,Masculino,Marketing,Gerente,14067,2014-02-13,9,Divorciado,Belo Horizonte,Superior Completo
